timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,-4.072,2.901,0,0,5,0,0,1
-0.015,-8.144,5.803,0,0,10,0,0,0.999
1.884,-76.012,54.16,0,0,93.333,0,0,0.998
2.865,-143.88,102.517,0,0,176.667,0,0,0.985
2.908,-152.195,108.441,0,0,186.877,0,0,0.972
2.929,-157.057,111.905,0,0,192.846,0,0,0.969
2.951,-161.555,115.11,0,0,198.369,0,0,0.969
2.972,-165.613,118.001,0,0,203.352,0,0,0.968
2.993,-169.509,120.778,0,0,208.136,0,0,0.967
3.015,-173.946,123.939,0,0,213.584,0,0,0.966
3.036,-178.271,127.021,0,0,218.895,0,0,0.965
3.057,-182.905,130.322,0,0,224.584,0,0,0.965
3.079,-187.198,133.381,0,0,229.856,0,0,0.964
3.1,-192.092,136.868,0,0,235.865,0,0,0.963
3.121,-196.335,139.892,0,0,241.075,0,0,0.962
3.143,-200.471,142.839,0,0,246.154,0,0,0.961
3.164,-204.776,145.906,0,0,251.439,0,0,0.96
3.185,-208.871,148.824,0,0,256.468,0,0,0.959
3.207,-212.67,151.53,0,0,261.132,0,0,0.958
3.228,-216.218,154.058,0,0,265.488,0,0,0.958
3.228,-220.149,156.859,0,0,270.315,0,0,0.957
3.249,-223.673,159.37,0,0,274.642,0,0,0.956
3.377,-245.845,175.168,0,0,301.867,0,0,0.956
3.399,-250.13,178.221,0,0,307.128,0,0,0.951
3.399,-253.762,180.809,0,0,311.587,0,0,0.95
3.42,-258.088,183.891,0,0,316.899,0,0,0.95
3.441,-261.903,186.609,0,0,321.584,0,0,0.949
3.463,-265.578,189.228,0,0,326.096,0,0,0.948
3.484,-269.254,191.847,0,0,330.611,0,0,0.947
3.484,-272.812,194.383,0,0,334.979,0,0,0.947
3.505,-276.558,197.052,0,0,339.579,0,0,0.946
3.527,-280.297,199.716,0,0,344.17,0,0,0.945
3.548,-284.239,202.524,0,0,349.01,0,0,0.944
3.569,-287.948,205.167,0,0,353.565,0,0,0.944
3.591,-291.529,207.718,0,0,357.961,0,0,0.943
3.612,-295.506,210.552,0,0,362.844,0,0,0.942
3.633,-299.371,213.306,0,0,367.59,0,0,0.941
3.655,-303.256,216.074,0,0,372.36,0,0,0.941
3.676,-307.01,218.749,0,0,376.969,0,0,0.94
3.676,-310.416,221.176,0,0,381.152,0,0,0.939
3.697,-314.216,223.884,0,0,385.818,0,0,0.938
3.719,-317.983,226.568,0,0,390.444,0,0,0.938
3.74,-321.867,229.335,0,0,395.213,0,0,0.937
3.761,-325.692,232.06,0,0,399.909,0,0,0.936
3.783,-329.437,234.728,0,0,404.507,0,0,0.935
3.804,-333.342,237.511,0,0,409.303,0,0,0.935
3.825,-336.794,239.97,0,0,413.54,0,0,0.934
3.847,-340.557,242.651,0,0,418.161,0,0,0.933
3.868,-344.213,245.257,0,0,422.65,0,0,0.933
3.868,-347.832,247.835,0,0,427.094,0,0,0.932
3.889,-347.209,251.215,0,0,428.559,0,0,0.931
3.911,-343.158,253.773,0,0,426.8,0,0,0.93
