timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,0,0,0,0,0,0,0,1
0.007,-4.431,2.316,0,0,5,0,0,0.999
1.607,-8.863,4.632,0,0,10,0,0,0.998
2.247,-82.719,43.229,0,0,93.333,0,0,0.985
2.247,-156.575,81.826,0,-84.6,228.502,1,0,0.972
2.289,-163.427,85.407,0,-84.6,235.819,1,0,0.97
2.311,-168.854,88.242,0,-84.6,241.632,1,0,0.97
2.353,-174.61,91.251,0,-84.6,247.815,1,0,0.968
2.375,-180.155,94.148,0,-84.6,253.785,1,0,0.967
2.396,-185.667,97.029,0,-84.6,259.733,1,0,0.966
2.417,-191.098,99.867,0,-84.6,265.606,1,0,0.966
2.439,-197.224,103.069,0,-84.6,272.244,1,0,0.964
2.46,-202.474,105.812,0,-84.6,277.943,1,0,0.963
2.481,-208.32,108.867,0,-84.6,284.3,1,0,0.962
2.503,-213.503,111.576,0,-84.6,289.946,1,0,0.961
2.524,-218.195,114.028,0,-84.6,295.063,1,0,0.961
2.567,-222.813,116.441,0,-84.6,300.105,1,0,0.96
2.567,-228.461,119.393,0,-84.6,306.28,1,0,0.959
2.588,-233.065,121.799,0,-84.6,311.32,1,0,0.958
2.609,-238.061,124.41,0,-84.6,316.793,1,0,0.957
2.631,-243.314,127.155,0,-84.6,322.555,1,0,0.956
2.652,-247.838,129.519,0,-84.6,327.522,1,0,0.955
2.673,-252.792,132.108,0,-84.6,332.966,1,0,0.954
2.695,-258.205,134.937,0,-84.6,338.919,1,0,0.953
2.716,-263.188,137.541,0,-84.6,344.405,1,0,0.952
2.737,-267.932,140.02,0,-84.6,349.631,1,0,0.952
2.78,-272.821,142.575,0,-84.6,355.021,1,0,0.951
2.801,-278.355,145.467,0,-84.6,361.127,1,0,0.95
2.823,-282.586,147.679,0,-84.6,365.798,1,0,0.949
2.844,-287.528,150.261,0,-84.6,371.258,1,0,0.948
2.865,-292.355,152.784,0,-84.6,376.593,1,0,0.947
2.887,-295.543,154.45,0,-84.6,380.119,1,0,0.947
2.908,-302.331,157.997,0,-84.6,387.631,1,0,0.945
2.929,-306.58,160.218,0,-84.6,392.336,1,0,0.945
2.951,-311.32,162.695,0,-84.6,397.586,1,0,0.944
2.972,-316.301,165.298,0,-84.6,403.107,1,0,0.943
2.993,-321.095,167.803,0,-84.6,408.423,1,0,0.942
3.015,-326.152,170.446,0,-84.6,414.033,1,0,0.941
3.036,-331.33,173.152,0,-84.6,419.78,1,0,0.94
3.057,-336.404,175.804,0,-84.6,425.415,1,0,0.939
3.079,-341.302,178.363,0,-84.6,430.856,1,0,0.938
3.1,-346.297,180.974,0,-84.6,436.407,1,0,0.937
3.121,-351.574,183.731,0,-84.6,442.274,1,0,0.937
3.143,-356.178,186.137,0,-84.6,447.394,1,0,0.936
3.185,-358.918,188.7,0,-84.6,451.127,1,0,0.935
3.185,-354.408,191.751,0,-84.6,449.417,1,0,0.934
3.207,-349.513,195.063,0,-84.6,447.628,1,0,0.933
3.228,-344.861,198.21,0,-84.6,445.994,1,0,0.932
3.249,-340.241,201.336,0,-84.6,444.436,1,0,0.931
3.271,-335.563,204.501,0,-84.6,442.924,1,0,0.93
3.313,-330.878,207.67,0,-84.6,441.477,1,0,0.929
3.335,-325.878,211.053,0,-84.6,440.008,1,0,0.928
3.356,-321.777,213.827,0,-84.6,438.861,1,0,0.928
3.377,-316.765,217.217,0,-84.6,437.532,1,0,0.927
3.399,-312.013,220.432,0,-84.6,436.345,1,0,0.926
3.42,-306.886,223.901,0,-84.6,435.146,1,0,0.925
3.441,-302.487,226.877,0,-84.6,434.185,1,0,0.924
3.463,-297.247,230.422,0,-84.6,433.122,1,0,0.923
3.505,-292.755,233.461,0,-84.6,432.282,1,0,0.922
3.527,-287.562,236.974,0,-84.6,431.395,1,0,0.921
3.527,-282.511,240.391,0,-84.6,430.618,1,0,0.92
3.548,-277.934,243.487,0,-84.6,429.987,1,0,0.919
3.569,-273.423,246.539,0,-84.6,429.434,1,0,0.918
3.612,-268.74,249.707,0,-84.6,428.932,1,0,0.917
3.633,-264.216,252.768,0,-84.6,428.517,1,0,0.917
3.655,-259.539,255.932,0,-84.6,428.162,1,0,0.916
3.676,-257.21,257.507,0,-84.6,428.012,1,0,0.915
3.697,-251.572,261.321,0,-84.6,427.727,1,0,0.914
3.697,-246.957,264.444,0,-84.6,427.574,1,0,0.913
3.719,-242.617,267.38,0,-84.6,427.496,1,0,0.912
3.74,-237.995,270.507,0,-84.6,427.484,1,0,0.911
3.783,-232.353,274.324,0,-84.6,427.568,1,0,0.91
3.804,-227.765,277.427,0,-84.6,427.716,1,0,0.909
3.825,-222.521,280.975,0,-84.6,427.973,1,0,0.908
3.847,-218.208,283.893,0,-84.6,428.254,1,0,0.908
3.868,-213.317,287.202,0,-84.6,428.65,1,0,0.907
3.889,-208.473,290.479,0,-84.6,429.121,1,0,0.906
3.911,-206.554,291.777,0,-84.6,429.33,1,0,0.905
3.932,-200.52,295.859,0,-84.6,430.067,1,0,0.904
3.953,-196.52,298.565,0,-84.6,430.623,1,0,0.903
3.996,-191.265,302.121,0,-84.6,431.434,1,0,0.902
4.017,-185.306,306.152,0,-84.6,432.464,1,0,0.901
4.039,-180.72,309.254,0,-84.6,433.337,1,0,0.9
4.06,-176.179,312.327,0,-84.6,434.269,1,0,0.9
4.081,-171.337,315.602,0,-84.6,435.337,1,0,0.899
4.103,-167.058,318.497,0,-84.6,436.343,1,0,0.898
4.124,-162.328,321.697,0,-84.6,437.524,1,0,0.897
4.145,-157.254,325.129,0,-84.6,438.87,1,0,0.896
4.167,-152.922,328.06,0,-84.6,440.084,1,0,0.895
4.188,-148.253,331.219,0,-84.6,441.457,1,0,0.894
4.209,-143.315,334.56,0,-84.6,442.983,1,0,0.893
4.231,-138.691,337.687,0,-84.6,444.479,1,0,0.892
4.252,-134.5,340.523,0,-84.6,445.892,1,0,0.891
4.273,-129.89,343.642,0,-84.6,447.507,1,0,0.891
4.295,-125.092,346.888,0,-84.6,449.254,1,0,0.89
4.316,-120.454,350.025,0,-84.6,451.008,1,0,0.889
4.337,-115.59,353.316,0,-84.6,452.914,1,0,0.888
4.359,-111.35,356.184,0,-84.6,454.631,1,0,0.887
4.38,-106.576,359.414,0,-84.6,456.625,1,0,0.886
4.401,-102.19,357.126,0,-84.6,453.392,1,0,0.885
4.444,-98.343,353.474,0,-84.6,448.977,1,0,0.884
4.551,-96.015,351.263,0,-84.6,446.313,1,0,0.884
4.572,-75.755,332.031,0,-84.6,423.462,1,0,0.879
4.593,-69.96,326.529,0,-84.6,417.039,1,0,0.878
4.615,-65.519,322.314,0,-84.6,412.155,1,0,0.877
4.636,-61.504,318.502,0,-84.6,407.767,1,0,0.876
4.657,-57.707,314.897,0,-84.6,403.644,1,0,0.875
4.679,-53.13,310.553,0,-84.6,398.709,1,0,0.874
4.7,-48.821,306.462,0,-84.6,394.098,1,0,0.873
4.721,-44.3,302.171,0,-84.6,389.299,1,0,0.872
4.743,-39.366,297.486,0,-84.6,384.108,1,0,0.871
4.764,-35.572,293.884,0,-84.6,380.152,1,0,0.87
4.785,-31.576,290.091,0,-84.6,376.02,1,0,0.87
4.828,-27.243,285.978,0,-84.6,371.578,1,0,0.869
