timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
0,-1.271,-4.836,0,0,5,0,0,1
0,-2.543,-9.671,0,0,10,0,0,0.999
0,-23.732,-90.266,0,0,93.333,0,0,0.998
0.561,-44.921,-170.86,0,0,176.667,0,0,0.985
0.583,-46.187,-175.676,0,-84.6,102.118,1,0,0.971
0.625,-51.216,-194.805,0,-84.6,121.525,1,0,0.971
0.711,-54.2,-206.154,0,-84.6,133.09,1,0,0.968
0.753,-57.096,-217.168,0,-84.6,144.34,1,0,0.966
0.775,-60.101,-228.597,0,-84.6,156.036,1,0,0.964
0.817,-62.803,-238.876,0,-84.6,166.569,1,0,0.962
0.839,-64.228,-244.296,0,-84.6,172.128,1,0,0.96
0.86,-65.578,-249.429,0,-84.6,177.396,1,0,0.959
0.881,-66.99,-254.801,0,-84.6,182.91,1,0,0.958
0.924,-68.391,-260.131,0,-84.6,188.383,1,0,0.957
0.945,-69.787,-265.439,0,-84.6,193.837,1,0,0.956
0.967,-71.255,-271.023,0,-84.6,199.577,1,0,0.955
0.988,-72.615,-276.197,0,-84.6,204.896,1,0,0.955
1.009,-74.065,-281.713,0,-84.6,210.569,1,0,0.954
1.031,-75.472,-287.065,0,-84.6,216.074,1,0,0.953
1.052,-76.897,-292.484,0,-84.6,221.65,1,0,0.952
1.073,-78.271,-297.711,0,-84.6,227.03,1,0,0.951
1.095,-79.686,-303.092,0,-84.6,232.569,1,0,0.95
1.116,-81.2,-308.851,0,-84.6,238.499,1,0,0.949
1.137,-82.519,-313.865,0,-84.6,243.664,1,0,0.949
1.159,-83.95,-319.311,0,-84.6,249.273,1,0,0.948
1.201,-85.406,-324.85,0,-84.6,254.979,1,0,0.947
1.223,-86.771,-330.039,0,-84.6,260.325,1,0,0.946
1.244,-88.19,-335.437,0,-84.6,265.888,1,0,0.945
1.244,-89.693,-341.153,0,-84.6,271.78,1,0,0.944
1.265,-91.178,-346.804,0,-84.6,277.604,1,0,0.943
1.287,-92.408,-348.52,0,-84.6,279.63,1,0,0.942
1.308,-93.454,-342.984,0,-84.6,274.765,1,0,0.941
1.329,-94.492,-337.488,0,-84.6,269.965,1,0,0.94
1.351,-95.571,-331.779,0,-84.6,265.012,1,0,0.94
1.372,-96.546,-326.617,0,-84.6,260.564,1,0,0.939
1.393,-97.573,-321.182,0,-84.6,255.913,1,0,0.938
1.436,-98.607,-315.709,0,-84.6,251.266,1,0,0.937
1.457,-99.678,-310.039,0,-84.6,246.492,1,0,0.936
1.479,-100.656,-304.863,0,-84.6,242.172,1,0,0.935
1.5,-101.721,-299.225,0,-84.6,237.51,1,0,0.934
1.521,-102.773,-293.657,0,-84.6,232.953,1,0,0.933
1.543,-103.843,-287.989,0,-84.6,228.365,1,0,0.932
1.564,-104.809,-282.881,0,-84.6,224.277,1,0,0.932
1.585,-105.913,-277.034,0,-84.6,219.655,1,0,0.931
1.607,-106.854,-272.053,0,-84.6,215.77,1,0,0.93
1.628,-107.892,-266.56,0,-84.6,211.542,1,0,0.929
1.649,-109.011,-260.637,0,-84.6,207.056,1,0,0.928
1.671,-110.009,-255.352,0,-84.6,203.121,1,0,0.927
1.692,-110.98,-250.212,0,-84.6,199.359,1,0,0.926
1.735,-112.005,-244.789,0,-84.6,195.462,1,0,0.925
1.735,-113.052,-239.249,0,-84.6,191.565,1,0,0.924
1.756,-114.083,-233.789,0,-84.6,187.809,1,0,0.924
1.777,-115.139,-228.201,0,-84.6,184.061,1,0,0.923
1.799,-116.272,-222.203,0,-84.6,180.149,1,0,0.922
1.82,-117.303,-216.747,0,-84.6,176.7,1,0,0.921
1.841,-118.32,-211.362,0,-84.6,173.402,1,0,0.92
1.863,-119.377,-205.77,0,-84.6,170.097,1,0,0.919
1.884,-120.389,-200.413,0,-84.6,167.051,1,0,0.918
1.927,-121.521,-194.421,0,-84.6,163.792,1,0,0.917
1.948,-122.457,-189.464,0,-84.6,161.221,1,0,0.916
1.969,-123.489,-184.003,0,-84.6,158.526,1,0,0.916
1.991,-124.676,-177.719,0,-84.6,155.612,1,0,0.914
2.012,-125.625,-172.696,0,-84.6,153.436,1,0,0.914
2.033,-126.595,-167.562,0,-84.6,151.357,1,0,0.913
2.055,-127.617,-162.153,0,-84.6,149.333,1,0,0.912
2.076,-128.706,-156.386,0,-84.6,147.372,1,0,0.911
2.097,-129.729,-150.972,0,-84.6,145.722,1,0,0.91
2.119,-130.782,-145.397,0,-84.6,144.223,1,0,0.909
2.14,-131.821,-139.897,0,-84.6,142.95,1,0,0.908
2.247,-137.088,-112.022,0,-84.6,139.803,1,0,0.908
2.268,-138.076,-106.789,0,-84.6,139.848,1,0,0.903
2.311,-139.241,-100.623,0,-84.6,140.16,1,0,0.902
2.332,-140.231,-95.385,0,-84.6,140.645,1,0,0.901
2.353,-141.332,-89.556,0,-84.6,141.419,1,0,0.9
2.375,-142.307,-84.397,0,-84.6,142.307,1,0,0.899
2.396,-143.342,-78.917,0,-84.6,143.455,1,0,0.898
2.417,-144.383,-73.408,0,-84.6,144.816,1,0,0.897
2.439,-145.415,-67.946,0,-84.6,146.365,1,0,0.897
2.46,-146.429,-62.577,0,-84.6,148.076,1,0,0.896
2.481,-147.513,-56.839,0,-84.6,150.102,1,0,0.895
2.503,-148.491,-51.664,0,-84.6,152.1,1,0,0.894
