timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.036,-4.537,-2.102,0,0,5,0,0,1
0.007,-9.074,-4.204,0,0,10,0,0,0.999
1.628,-84.687,-39.233,0,0,93.333,0,0,0.998
2.311,-160.301,-74.262,0,0,176.667,0,0,0.985
2.332,-165.939,-76.874,0,0,182.881,0,0,0.972
2.353,-170.861,-79.154,0,0,188.306,0,0,0.97
2.375,-176.28,-81.665,0,0,194.278,0,0,0.969
2.396,-181.57,-84.116,0,0,200.108,0,0,0.968
2.396,-186.872,-86.572,0,0,205.951,0,0,0.968
2.417,-192.01,-88.952,0,0,211.614,0,0,0.967
2.439,-197.25,-91.38,0,0,217.389,0,0,0.966
2.481,-202.507,-93.815,0,0,223.182,0,0,0.965
2.503,-207.46,-96.11,0,0,228.641,0,0,0.964
2.524,-212.659,-98.518,0,0,234.371,0,0,0.963
2.545,-217.681,-100.845,0,0,239.906,0,0,0.962
2.567,-222.731,-103.184,0,0,245.471,0,0,0.961
2.588,-227.798,-105.531,0,0,251.055,0,0,0.96
2.609,-232.645,-107.777,0,0,256.398,0,0,0.959
2.631,-237.762,-110.148,0,0,262.037,0,0,0.958
2.652,-242.78,-112.472,0,0,267.567,0,0,0.958
2.673,-247.863,-114.827,0,0,273.169,0,0,0.957
2.695,-252.922,-117.171,0,0,278.745,0,0,0.956
2.716,-258.013,-119.529,0,0,284.355,0,0,0.955
2.759,-263.317,-121.986,0,0,290.201,0,0,0.954
2.78,-267.859,-124.09,0,0,295.206,0,0,0.953
2.801,-273.028,-126.485,0,0,300.903,0,0,0.952
2.823,-277.953,-128.767,0,0,306.331,0,0,0.951
2.844,-283.146,-131.172,0,0,312.054,0,0,0.95
2.865,-288.264,-133.543,0,0,317.694,0,0,0.95
2.865,-293.586,-136.009,0,0,323.56,0,0,0.949
2.887,-298.419,-138.248,0,0,328.886,0,0,0.948
2.908,-303.437,-140.573,0,0,334.417,0,0,0.947
2.929,-308.492,-142.914,0,0,339.988,0,0,0.946
2.951,-313.323,-145.152,0,0,345.312,0,0,0.945
2.993,-318.368,-147.49,0,0,350.872,0,0,0.944
3.036,-323.439,-149.839,0,0,356.461,0,0,0.943
3.036,-328.43,-152.151,0,0,361.961,0,0,0.943
3.057,-333.458,-154.48,0,0,367.503,0,0,0.942
3.079,-338.569,-156.848,0,0,373.136,0,0,0.941
3.1,-343.706,-159.228,0,0,378.797,0,0,0.94
