timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,-0.125,-4.998,0,0,5,0,0,1
-0.036,-0.249,-9.997,0,0,10,0,0,0.999
1.393,-2.327,-93.304,0,0,93.333,0,0,0.998
2.076,-4.406,-176.612,0,0,176.667,0,0,0.985
2.097,-4.53,-181.608,0,0,181.664,0,0,0.972
2.119,-4.66,-186.829,0,0,186.887,0,0,0.971
2.14,-4.798,-192.351,0,0,192.411,0,0,0.97
2.161,-4.941,-198.088,0,0,198.15,0,0,0.969
2.183,-5.086,-203.902,0,0,203.965,0,0,0.968
2.204,-5.24,-210.046,0,0,210.112,0,0,0.967
2.225,-5.391,-216.102,0,0,216.169,0,0,0.966
2.247,-5.551,-222.514,0,0,222.583,0,0,0.965
2.289,-5.714,-229.079,0,0,229.151,0,0,0.964
2.311,-5.882,-235.79,0,0,235.863,0,0,0.963
2.332,-6.045,-242.329,0,0,242.404,0,0,0.962
2.375,-6.21,-248.946,0,0,249.023,0,0,0.961
2.396,-6.373,-255.463,0,0,255.543,0,0,0.96
2.417,-6.529,-261.74,0,0,261.822,0,0,0.959
2.417,-6.692,-268.27,0,0,268.353,0,0,0.958
2.46,-6.856,-274.844,0,0,274.93,0,0,0.957
2.481,-7.012,-281.106,0,0,281.194,0,0,0.956
2.503,-7.172,-287.514,0,0,287.604,0,0,0.955
2.524,-7.322,-293.52,0,0,293.612,0,0,0.953
2.567,-7.478,-299.79,0,0,299.884,0,0,0.953
2.588,-7.633,-305.994,0,0,306.09,0,0,0.952
2.609,-7.789,-312.244,0,0,312.342,0,0,0.951
2.631,-7.946,-318.521,0,0,318.62,0,0,0.95
2.652,-8.107,-324.987,0,0,325.088,0,0,0.948
2.695,-8.263,-331.248,0,0,331.351,0,0,0.947
2.716,-8.421,-337.57,0,0,337.675,0,0,0.946
2.737,-8.584,-344.106,0,0,344.213,0,0,0.945
2.759,-8.746,-350.616,0,0,350.725,0,0,0.944
2.801,-8.912,-357.283,0,0,357.394,0,0,0.943
2.823,-9.365,-355.561,0,0,355.684,0,0,0.942
2.844,-9.991,-349.186,0,0,349.328,0,0,0.941
2.887,-10.573,-343.251,0,0,343.413,0,0,0.94
2.887,-11.238,-336.474,0,0,336.661,0,0,0.939
2.908,-11.905,-329.679,0,0,329.893,0,0,0.938
2.972,-12.554,-323.054,0,0,323.297,0,0,0.937
2.993,-13.204,-316.437,0,0,316.713,0,0,0.936
3.015,-13.849,-309.853,0,0,310.163,0,0,0.935
3.036,-14.481,-303.413,0,0,303.758,0,0,0.934
3.057,-15.118,-296.924,0,0,297.309,0,0,0.933
3.079,-15.748,-290.496,0,0,290.923,0,0,0.932
3.1,-16.37,-284.156,0,0,284.627,0,0,0.931
3.121,-17.023,-277.504,0,0,278.026,0,0,0.93
3.164,-17.641,-271.202,0,0,271.775,0,0,0.929
3.185,-18.237,-265.128,0,0,265.755,0,0,0.928
3.207,-18.849,-258.889,0,0,259.574,0,0,0.927
3.228,-19.458,-252.683,0,0,253.431,0,0,0.926
3.271,-20.08,-246.341,0,0,247.158,0,0,0.925
3.292,-20.769,-239.319,0,0,240.219,0,0,0.924
3.313,-21.356,-233.334,0,0,234.309,0,0,0.923
3.335,-21.942,-227.363,0,0,228.419,0,0,0.922
3.377,-22.6,-220.656,0,0,221.81,0,0,0.921
3.399,-23.282,-213.704,0,0,214.968,0,0,0.919
3.42,-23.952,-206.879,0,0,208.261,0,0,0.918
3.463,-24.608,-200.183,0,0,201.69,0,0,0.917
3.484,-25.277,-193.369,0,0,195.014,0,0,0.916
3.505,-25.996,-186.039,0,0,187.846,0,0,0.915
3.527,-26.672,-179.152,0,0,181.126,0,0,0.914
3.548,-27.316,-172.589,0,0,174.737,0,0,0.913
3.569,-27.974,-165.873,0,0,168.216,0,0,0.912
3.612,-28.639,-159.102,0,0,161.659,0,0,0.911
3.633,-29.285,-152.514,0,0,155.3,0,0,0.91
3.655,-29.892,-146.329,0,0,149.351,0,0,0.909
3.697,-30.552,-139.595,0,0,142.899,0,0,0.908
3.719,-31.228,-132.706,0,0,136.331,0,0,0.906
3.74,-31.872,-126.143,0,0,130.108,0,0,0.905
3.783,-32.572,-119.004,0,0,123.381,0,0,0.904
3.804,-33.301,-111.579,0,0,116.442,0,0,0.903
3.825,-33.973,-104.728,0,0,110.1,0,0,0.902
3.868,-34.685,-97.465,0,0,103.453,0,0,0.901
3.889,-35.348,-90.715,0,0,97.359,0,0,0.9
3.911,-36.014,-83.924,0,0,91.325,0,0,0.899
3.953,-36.689,-77.039,0,0,85.329,0,0,0.897
3.975,-37.331,-70.493,0,0,79.768,0,0,0.896
3.996,-37.99,-63.782,0,0,74.238,0,0,0.895
4.017,-38.647,-57.082,0,0,68.935,0,0,0.894
4.039,-39.302,-50.408,0,0,63.919,0,0,0.893
4.06,-39.949,-43.808,0,0,59.288,0,0,0.892
4.103,-40.582,-37.355,0,0,55.157,0,0,0.891
4.124,-41.209,-30.97,0,0,51.549,0,0,0.89
4.145,-41.855,-24.384,0,0,48.44,0,0,0.889
4.167,-42.457,-18.244,0,0,46.211,0,0,0.888
4.209,-43.085,-11.85,0,0,44.684,0,0,0.887
4.231,-43.708,-5.49,0,0,44.052,0,0,0.886
4.252,-44.338,0.927,0,0,44.348,0,0,0.885
4.273,-44.962,7.292,0,0,45.55,0,0,0.884
4.316,-45.591,13.7,0,0,47.605,0,0,0.883
4.337,-46.221,20.123,0,0,50.412,0,0,0.882
4.359,-46.877,26.81,0,0,54.002,0,0,0.881
4.38,-47.496,33.114,0,0,57.899,0,0,0.88
4.423,-48.141,39.689,0,0,62.392,0,0,0.879
4.444,-48.824,46.656,0,0,67.532,0,0,0.878
4.465,-49.528,53.828,0,0,73.147,0,0,0.876
4.487,-50.253,61.222,0,0,79.205,0,0,0.875
4.508,-50.992,68.749,0,0,85.596,0,0,0.874
4.551,-51.673,75.697,0,0,91.652,0,0,0.873
4.572,-52.36,82.695,0,0,97.877,0,0,0.872
4.615,-53.038,89.607,0,0,104.127,0,0,0.871
4.657,-53.732,96.683,0,0,110.61,0,0,0.87
4.657,-54.419,103.689,0,0,117.102,0,0,0.868
4.7,-55.122,110.852,0,0,123.8,0,0,0.867
4.721,-55.787,117.629,0,0,130.187,0,0,0.866
4.743,-56.506,124.957,0,0,137.139,0,0,0.865
4.785,-57.215,132.188,0,0,144.039,0,0,0.864
4.807,-57.929,139.467,0,0,151.02,0,0,0.863
4.849,-58.629,146.6,0,0,157.889,0,0,0.862
4.871,-59.346,153.908,0,0,164.953,0,0,0.86
4.892,-60.035,160.934,0,0,171.768,0,0,0.859
4.935,-60.704,167.748,0,0,178.394,0,0,0.858
4.956,-61.385,174.691,0,0,185.162,0,0,0.857
4.977,-62.066,181.634,0,0,191.946,0,0,0.856
5.02,-62.743,188.536,0,0,198.702,0,0,0.855
5.041,-63.43,195.541,0,0,205.571,0,0,0.854
5.084,-64.082,202.183,0,0,212.095,0,0,0.853
5.105,-64.753,209.022,0,0,218.823,0,0,0.851
5.127,-65.394,215.558,0,0,225.259,0,0,0.85
5.127,-66.063,222.382,0,0,231.987,0,0,0.849
5.169,-66.704,228.916,0,0,238.437,0,0,0.848
5.191,-67.343,235.427,0,0,244.87,0,0,0.847
5.212,-67.974,241.857,0,0,251.228,0,0,0.846
5.255,-68.605,248.29,0,0,257.594,0,0,0.845
5.276,-69.225,254.609,0,0,263.852,0,0,0.844
5.297,-69.853,261.009,0,0,270.195,0,0,0.843
5.319,-70.46,267.203,0,0,276.336,0,0,0.842
5.361,-71.093,273.656,0,0,282.74,0,0,0.841
5.383,-71.706,279.904,0,0,288.943,0,0,0.84
5.404,-72.318,286.134,0,0,295.132,0,0,0.839
5.425,-72.928,292.36,0,0,301.318,0,0,0.838
5.447,-73.535,298.541,0,0,307.463,0,0,0.837
5.489,-74.163,304.944,0,0,313.833,0,0,0.836
5.511,-74.785,311.286,0,0,320.144,0,0,0.835
5.532,-75.393,317.478,0,0,326.307,0,0,0.834
5.575,-76.091,324.6,0,0,333.4,0,0,0.833
5.596,-76.682,330.625,0,0,339.401,0,0,0.832
5.617,-77.289,336.805,0,0,345.559,0,0,0.831
5.617,-77.935,343.389,0,0,352.122,0,0,0.83
5.639,-78.573,349.9,0,0,358.614,0,0,0.829
5.681,-79.221,356.5,0,0,365.196,0,0,0.828
5.703,-79.831,357.284,0,0,366.094,0,0,0.827
5.724,-79.457,350.69,0,0,359.579,0,0,0.826
5.745,-79.103,344.456,0,0,353.422,0,0,0.825
5.788,-78.754,338.284,0,0,347.33,0,0,0.824
5.809,-78.478,333.413,0,0,342.524,0,0,0.823
5.831,-78.144,327.529,0,0,336.722,0,0,0.822
5.852,-77.848,322.298,0,0,331.567,0,0,0.821
5.873,-77.532,316.732,0,0,326.084,0,0,0.82
5.895,-77.2,310.878,0,0,320.32,0,0,0.819
5.916,-76.884,305.307,0,0,314.839,0,0,0.818
5.937,-76.576,299.867,0,0,309.49,0,0,0.817
5.959,-76.262,294.334,0,0,304.054,0,0,0.817
5.98,-75.946,288.749,0,0,298.569,0,0,0.816
6.001,-75.625,283.083,0,0,293.01,0,0,0.815
6.044,-75.307,277.476,0,0,287.514,0,0,0.814
6.065,-74.995,271.976,0,0,282.126,0,0,0.813
6.087,-74.673,266.292,0,0,276.564,0,0,0.812
6.087,-74.357,260.712,0,0,271.108,0,0,0.811
6.108,-74.043,255.174,0,0,265.699,0,0,0.81
6.129,-73.723,249.537,0,0,260.2,0,0,0.809
6.151,-73.406,243.936,0,0,254.741,0,0,0.808
