timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.079,0,0,0,0,0,0,0,1
-0.057,0.959,-4.907,0,0,5,0,0,0.998
1.564,1.918,-9.814,0,0,10,0,0,0.995
2.268,17.906,-91.6,0,0,93.333,0,0,0.955
2.289,33.893,-173.385,0,-84.6,95.034,1,0,0.915
2.332,35.327,-180.721,0,-84.6,102.407,1,0,0.912
2.375,37.325,-190.939,0,-84.6,112.699,1,0,0.907
2.439,39.523,-202.187,0,-84.6,124.052,1,0,0.901
2.481,41.814,-213.906,0,-84.6,135.899,1,0,0.895
2.524,44.041,-225.297,0,-84.6,147.428,1,0,0.89
2.567,46.032,-235.483,0,-84.6,157.748,1,0,0.885
2.588,48.666,-248.959,0,-84.6,171.413,1,0,0.878
2.609,49.69,-254.197,0,-84.6,176.726,1,0,0.876
2.631,50.745,-259.592,0,-84.6,182.201,1,0,0.873
2.737,51.346,-262.668,0,-84.6,185.323,1,0,0.872
2.759,57.13,-292.258,0,-84.6,215.374,1,0,0.857
2.78,58.219,-297.828,0,-84.6,221.033,1,0,0.854
2.801,59.268,-303.194,0,-84.6,226.487,1,0,0.852
2.823,60.341,-308.684,0,-84.6,232.066,1,0,0.849
2.844,61.528,-314.756,0,-84.6,238.239,1,0,0.846
2.865,62.476,-319.606,0,-84.6,243.169,1,0,0.844
2.887,63.537,-325.033,0,-84.6,248.686,1,0,0.841
2.908,64.662,-330.787,0,-84.6,254.537,1,0,0.838
2.929,65.653,-335.86,0,-84.6,259.696,1,0,0.836
2.972,66.714,-341.286,0,-84.6,265.214,1,0,0.833
2.993,67.841,-347.049,0,-84.6,271.075,1,0,0.83
3.015,68.906,-352.502,0,-84.6,276.621,1,0,0.828
3.036,69.928,-357.726,0,-84.6,281.935,1,0,0.825
3.057,71.369,-356.397,0,-84.6,281.011,1,0,0.822
3.079,73.017,-351.154,0,-84.6,276.374,1,0,0.819
3.1,74.612,-346.079,0,-84.6,271.916,1,0,0.817
3.121,76.468,-340.176,0,-84.6,266.77,1,0,0.814
3.121,77.955,-335.447,0,-84.6,262.68,1,0,0.812
3.143,79.684,-329.946,0,-84.6,257.962,1,0,0.809
3.164,81.292,-324.832,0,-84.6,253.613,1,0,0.806
3.185,82.962,-319.52,0,-84.6,249.139,1,0,0.804
3.228,84.603,-314.3,0,-84.6,244.785,1,0,0.801
3.249,86.5,-308.266,0,-84.6,239.809,1,0,0.798
3.271,87.949,-303.656,0,-84.6,236.052,1,0,0.796
3.292,89.621,-298.336,0,-84.6,231.765,1,0,0.793
3.313,91.427,-292.593,0,-84.6,227.201,1,0,0.79
3.335,93.055,-287.412,0,-84.6,223.141,1,0,0.787
3.356,94.621,-282.431,0,-84.6,219.295,1,0,0.785
3.377,96.383,-276.826,0,-84.6,215.036,1,0,0.782
3.399,98.05,-271.524,0,-84.6,211.079,1,0,0.779
3.42,99.62,-266.53,0,-84.6,207.419,1,0,0.777
3.441,101.333,-261.08,0,-84.6,203.504,1,0,0.774
3.484,103.238,-255.02,0,-84.6,199.252,1,0,0.771
3.505,104.638,-250.569,0,-84.6,196.201,1,0,0.769
3.527,106.348,-245.128,0,-84.6,192.56,1,0,0.766
3.548,108.003,-239.866,0,-84.6,189.135,1,0,0.763
3.569,109.671,-234.559,0,-84.6,185.783,1,0,0.761
3.591,111.46,-228.867,0,-84.6,182.309,1,0,0.758
3.591,113.023,-223.896,0,-84.6,179.381,1,0,0.755
3.612,114.721,-218.495,0,-84.6,176.32,1,0,0.753
3.633,116.518,-212.779,0,-84.6,173.223,1,0,0.75
3.655,118.053,-207.895,0,-84.6,170.699,1,0,0.747
3.676,119.711,-202.621,0,-84.6,168.106,1,0,0.745
