t_audio_sec,ray_on_target,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,target_x,target_y,target_z
0.7893,0,-1.5730,1.0472,-0.3042,-0.9194,0.2603,-0.2949,0.0958,1.2147,1.5310
0.8320,0,-1.5728,1.0470,-0.3047,-0.9194,0.2605,-0.2947,0.0960,1.2170,1.5310
0.8533,0,-1.5729,1.0471,-0.3043,-0.9194,0.2604,-0.2947,0.0959,1.2183,1.5310
0.8533,0,-1.5729,1.0471,-0.3043,-0.9194,0.2604,-0.2947,0.0956,1.2197,1.5310
0.8960,0,-1.5728,1.0472,-0.3043,-0.9194,0.2604,-0.2948,0.0949,1.2217,1.5310
0.9173,0,-1.5728,1.0472,-0.3042,-0.9194,0.2604,-0.2947,0.0937,1.2235,1.5310
0.9600,0,-1.5728,1.0472,-0.3042,-0.9194,0.2604,-0.2948,0.0922,1.2251,1.5310
0.9813,0,-1.5728,1.0472,-0.3041,-0.9194,0.2604,-0.2947,0.0908,1.2263,1.5310
1.0027,0,-1.5728,1.0473,-0.3041,-0.9194,0.2604,-0.2948,0.0886,1.2276,1.5310
1.0240,0,-1.5728,1.0473,-0.3040,-0.9194,0.2604,-0.2947,0.0866,1.2287,1.5310
1.0667,0,-1.5728,1.0473,-0.3040,-0.9194,0.2604,-0.2948,0.0839,1.2297,1.5310
1.0880,0,-1.5728,1.0470,-0.3052,-0.9194,0.2602,-0.2948,0.0812,1.2306,1.5310
1.0880,0,-1.5728,1.0470,-0.3052,-0.9194,0.2602,-0.2948,0.0784,1.2313,1.5310
1.1520,0,-1.5728,1.0470,-0.3053,-0.9195,0.2602,-0.2948,0.0737,1.2322,1.5310
1.1733,0,-1.5728,1.0470,-0.3053,-0.9194,0.2602,-0.2948,0.0706,1.2326,1.5310
1.1947,0,-1.5728,1.0470,-0.3053,-0.9194,0.2602,-0.2948,0.0667,1.2330,1.5310
1.2160,0,-1.5728,1.0470,-0.3054,-0.9194,0.2603,-0.2949,0.0628,1.2332,1.5310
1.2373,0,-1.5728,1.0470,-0.3054,-0.9194,0.2603,-0.2949,0.0590,1.2334,1.5310
1.2587,0,-1.5728,1.0469,-0.3050,-0.9195,0.2605,-0.2945,0.0545,1.2334,1.5310
1.2800,0,-1.5727,1.0468,-0.3050,-0.9193,0.2607,-0.2947,0.0476,1.2332,1.5310
1.3013,0,-1.5726,1.0467,-0.3050,-0.9194,0.2606,-0.2947,0.0438,1.2330,1.5310
1.3440,0,-1.5728,1.0470,-0.3051,-0.9193,0.2606,-0.2950,0.0382,1.2325,1.5310
1.3653,0,-1.5729,1.0470,-0.3051,-0.9193,0.2604,-0.2950,0.0320,1.2319,1.5310
1.4080,0,-1.5729,1.0470,-0.3052,-0.9192,0.2607,-0.2950,0.0257,1.2311,1.5310
1.4293,0,-1.5729,1.0473,-0.3046,-0.9194,0.2604,-0.2948,0.0206,1.2303,1.5310
1.4507,0,-1.5729,1.0472,-0.3040,-0.9194,0.2604,-0.2946,0.0162,1.2296,1.5310
1.4720,0,-1.5729,1.0472,-0.3039,-0.9195,0.2605,-0.2945,0.0113,1.2287,1.5310
1.4933,0,-1.5730,1.0472,-0.3038,-0.9196,0.2604,-0.2943,0.0076,1.2280,1.5310
1.5147,0,-1.5730,1.0472,-0.3038,-0.9194,0.2605,-0.2946,0.0018,1.2267,1.5310
1.5360,0,-1.5730,1.0472,-0.3038,-0.9194,0.2605,-0.2946,-0.0034,1.2255,1.5310
1.5787,0,-1.5730,1.0472,-0.3037,-0.9194,0.2604,-0.2947,-0.0091,1.2240,1.5310
