alert_number,start_time_seconds,direction
1,2.000,right
2,12.327,both
3,24.653,left
4,33.037,right
5,42.049,left
6,53.457,right
7,64.834,both
8,72.850,both
9,81.050,both
10,90.162,both
11,101.613,left
12,111.450,left
13,121.183,left
14,133.788,left
15,143.532,right
16,150.405,left
17,157.219,left
18,164.129,left
19,170.969,both
20,177.000,both
