timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.036,0.751,-4.943,0,0,5,0,0,1
-0.015,1.501,-9.887,0,0,10,0,0,0.999
1.841,14.012,-92.276,0,0,93.333,0,0,0.998
2.481,26.523,-174.664,0,0,176.667,0,0,0.985
2.545,27.609,-181.817,0,0,183.902,0,0,0.972
2.567,28.325,-186.532,0,0,188.671,0,0,0.97
2.588,29.169,-192.089,0,0,194.291,0,0,0.969
2.588,29.985,-197.467,0,0,199.73,0,0,0.968
2.609,30.842,-203.111,0,0,205.439,0,0,0.968
2.631,31.652,-208.444,0,0,210.834,0,0,0.967
2.844,39.173,-257.97,0,0,260.928,0,0,0.966
2.865,39.926,-262.93,0,0,265.944,0,0,0.958
2.887,40.754,-268.385,0,0,271.462,0,0,0.957
2.908,41.611,-274.026,0,0,277.167,0,0,0.956
2.929,42.515,-279.98,0,0,283.19,0,0,0.955
2.951,43.248,-284.809,0,0,288.074,0,0,0.954
2.972,44.088,-290.338,0,0,293.666,0,0,0.953
2.993,44.978,-296.196,0,0,299.592,0,0,0.953
3.015,45.755,-301.313,0,0,304.767,0,0,0.952
3.036,46.591,-306.824,0,0,310.342,0,0,0.951
3.057,47.437,-312.392,0,0,315.973,0,0,0.95
3.057,48.299,-318.068,0,0,321.714,0,0,0.949
3.1,49.118,-323.466,0,0,327.174,0,0,0.948
3.121,50.012,-329.352,0,0,333.128,0,0,0.947
3.143,50.808,-334.592,0,0,338.427,0,0,0.946
3.164,51.633,-340.029,0,0,343.927,0,0,0.945
3.185,52.463,-345.489,0,0,349.449,0,0,0.944
3.207,53.318,-351.121,0,0,355.146,0,0,0.944
3.228,54.129,-356.464,0,0,360.55,0,0,0.943
3.249,54.986,-357.897,0,0,362.096,0,0,0.942
3.271,55.337,-352.347,0,0,356.665,0,0,0.941
3.292,55.693,-346.718,0,0,351.162,0,0,0.94
3.313,56.035,-341.321,0,0,345.89,0,0,0.939
3.335,56.386,-335.772,0,0,340.473,0,0,0.938
3.463,58.007,-310.168,0,0,315.546,0,0,0.937
3.484,58.378,-304.307,0,0,309.856,0,0,0.933
3.505,58.717,-298.965,0,0,304.677,0,0,0.932
3.527,59.054,-293.631,0,0,299.51,0,0,0.932
3.548,59.403,-288.127,0,0,294.186,0,0,0.931
3.548,59.75,-282.639,0,0,288.885,0,0,0.93
3.569,60.117,-276.847,0,0,283.299,0,0,0.929
3.612,60.62,-268.904,0,0,275.652,0,0,0.928
3.655,61.328,-257.718,0,0,264.914,0,0,0.927
3.697,62.023,-246.743,0,0,254.418,0,0,0.925
3.804,63.787,-218.869,0,0,227.975,0,0,0.924
3.825,64.159,-213,0,0,222.454,0,0,0.919
3.868,64.543,-206.934,0,0,216.766,0,0,0.918
3.889,64.899,-201.307,0,0,211.51,0,0,0.917
3.911,65.245,-195.854,0,0,206.435,0,0,0.916
3.932,65.59,-190.395,0,0,201.377,0,0,0.915
3.953,65.873,-185.929,0,0,197.253,0,0,0.915
3.975,66.2,-180.756,0,0,192.497,0,0,0.913
3.996,66.567,-174.967,0,0,187.202,0,0,0.913
4.017,66.986,-168.346,0,0,181.183,0,0,0.912
4.017,67.388,-161.999,0,0,175.456,0,0,0.911
4.06,67.747,-156.325,0,0,170.373,0,0,0.91
4.081,68.082,-151.036,0,0,165.672,0,0,0.909
4.103,68.43,-145.543,0,0,160.828,0,0,0.908
4.124,68.777,-140.062,0,0,156.037,0,0,0.907
4.188,69.348,-131.046,0,0,148.264,0,0,0.906
4.188,69.73,-125.002,0,0,143.135,0,0,0.905
4.209,70.083,-119.436,0,0,138.479,0,0,0.904
4.231,70.604,-111.194,0,0,131.716,0,0,0.903
4.252,70.934,-105.997,0,0,127.542,0,0,0.901
4.273,71.279,-100.542,0,0,123.245,0,0,0.901
4.316,71.633,-94.953,0,0,118.943,0,0,0.9
4.337,71.981,-89.446,0,0,114.813,0,0,0.899
4.359,72.336,-83.85,0,0,110.74,0,0,0.898
4.38,72.712,-77.903,0,0,106.564,0,0,0.897
4.401,73.054,-72.504,0,0,102.926,0,0,0.896
4.423,73.414,-66.822,0,0,99.271,0,0,0.895
4.444,73.762,-61.327,0,0,95.926,0,0,0.894
4.465,74.106,-55.888,0,0,92.818,0,0,0.893
4.487,74.504,-49.595,0,0,89.502,0,0,0.893
4.508,74.829,-44.469,0,0,87.045,0,0,0.892
4.508,75.167,-39.135,0,0,84.744,0,0,0.891
4.551,75.543,-33.195,0,0,82.514,0,0,0.89
4.593,75.885,-27.785,0,0,80.812,0,0,0.889
4.615,76.231,-22.324,0,0,79.432,0,0,0.888
4.636,76.592,-16.625,0,0,78.375,0,0,0.887
4.657,76.938,-11.159,0,0,77.743,0,0,0.886
4.657,77.294,-5.537,0,0,77.492,0,0,0.885
4.679,77.649,0.073,0,0,77.649,0,0,0.884
4.7,77.995,5.541,0,0,78.192,0,0,0.884
