alert_number,start_time_seconds,direction
1,2.000,right
2,10.458,left
3,20.927,both
4,32.695,both
5,41.954,both
6,51.546,left
7,58.270,both
8,68.824,right
9,76.676,right
10,83.079,left
11,93.187,left
12,104.797,right
13,115.411,left
14,122.275,both
15,129.285,both
16,141.318,right
17,147.515,both
18,156.889,both
19,165.693,left
20,177.000,right
