trialIndex,alertNumber,scheduledStartSec,actualStartSec,trialInitiatedUtc,correctDirection,responseDirection,responseTimeSec,reactionTimeSec,outcome
0,1,2,2.268,2026-02-07T01:11:41.0733149Z,Right,Unknown,-1,-1,Missed
1,2,9.849,9.863,2026-02-07T01:11:48.6791585Z,Right,Unknown,-1,-1,Missed
