trialIndex,alertNumber,scheduledStartSec,actualStartSec,trialInitiatedUtc,correctDirection,responseDirection,responseTimeSec,reactionTimeSec,outcome
0,1,2,2.503,2026-02-06T23:57:07.0894690Z,Right,Unknown,-1,-1,Missed
1,2,9.849,9.863,2026-02-06T23:57:14.4728957Z,Right,Unknown,-1,-1,Missed
2,3,21.22,21.233,2026-02-06T23:57:25.8584083Z,Right,Unknown,-1,-1,Missed
3,4,31.27,31.324,2026-02-06T23:57:35.9741974Z,Both,Unknown,-1,-1,Missed
