timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.036,0,0,0,0,0,0,0,1
-0.015,3.444,3.625,0,0,5,0,0,0.998
2.503,6.889,7.249,0,0,10,0,0,0.995
6.193,64.293,67.658,0,0,93.333,0,0,0.955
6.257,121.697,128.066,0,-84.6,245.025,1,0,0.835
6.407,132.695,139.64,0,-84.6,260.56,1,0,0.828
6.449,157.853,166.115,0,-84.6,296.27,1,0,0.81
6.471,162.266,170.758,0,-84.6,302.553,1,0,0.807
6.492,165.683,174.355,0,-84.6,307.422,1,0,0.805
6.513,171.419,180.391,0,-84.6,315.602,1,0,0.801
6.535,175.653,184.846,0,-84.6,321.644,1,0,0.798
6.556,178.664,188.015,0,-84.6,325.944,1,0,0.796
6.599,184.873,194.549,0,-84.6,334.816,1,0,0.791
6.62,188.579,198.449,0,-84.6,340.115,1,0,0.789
6.641,191.941,201.987,0,-84.6,344.925,1,0,0.786
6.663,196.309,206.584,0,-84.6,351.177,1,0,0.783
6.663,201.934,212.503,0,-84.6,359.232,1,0,0.779
6.705,205.527,216.284,0,-84.6,364.379,1,0,0.777
6.727,209.406,220.366,0,-84.6,369.939,1,0,0.774
6.769,215.475,226.753,0,-84.6,378.643,1,0,0.77
6.791,218.034,229.446,0,-84.6,382.314,1,0,0.768
6.812,221.143,232.717,0,-84.6,386.775,1,0,0.766
6.812,224.061,235.788,0,-84.6,390.963,1,0,0.764
6.855,230.086,242.129,0,-84.6,399.614,1,0,0.76
6.855,232.601,244.775,0,-84.6,403.226,1,0,0.758
6.876,235.554,247.883,0,-84.6,407.469,1,0,0.756
6.897,238.683,251.176,0,-84.6,411.965,1,0,0.754
6.919,241.814,254.47,0,-84.6,416.465,1,0,0.752
6.94,244.733,257.542,0,-84.6,420.66,1,0,0.749
6.961,248.119,261.105,0,-84.6,425.529,1,0,0.747
6.983,251.451,264.612,0,-84.6,430.321,1,0,0.745
7.004,254.534,267.856,0,-84.6,434.756,1,0,0.743
7.025,260.179,273.796,0,-84.6,442.878,1,0,0.739
7.047,265.481,279.376,0,-84.6,450.509,1,0,0.735
7.089,270.301,284.448,0,-84.6,457.449,1,0,0.732
7.111,272.635,286.905,0,-84.6,460.81,1,0,0.73
7.132,277.664,292.197,0,-84.6,468.052,1,0,0.727
7.132,282.056,296.818,0,-84.6,474.378,1,0,0.723
7.175,286.257,301.239,0,-84.6,480.432,1,0,0.721
7.196,289.982,305.159,0,-84.6,485.8,1,0,0.718
7.217,293.724,309.097,0,-84.6,491.194,1,0,0.715
7.26,298.027,313.626,0,-84.6,497.397,1,0,0.712
7.281,301.824,317.621,0,-84.6,502.871,1,0,0.71
7.367,305.241,321.217,0,-84.6,507.799,1,0,0.707
7.388,323.132,340.044,0,-84.6,533.607,1,0,0.695
7.409,326.827,343.933,0,-84.6,538.94,1,0,0.692
7.431,332.127,349.51,0,-84.6,546.589,1,0,0.689
7.452,336.099,353.69,0,-84.6,552.323,1,0,0.686
7.473,339.673,357.451,0,-84.6,557.483,1,0,0.683
7.516,343.675,358.338,0,-84.6,560.63,1,0,0.681
7.537,347.891,354.641,0,-84.6,560.322,1,0,0.678
7.58,349.83,352.94,0,-84.6,560.198,1,0,0.677
7.644,359.013,344.886,0,-84.6,559.776,1,0,0.671
7.665,348.918,333.883,0,-84.6,544.859,1,0,0.663
7.687,345.006,329.232,0,-84.6,538.782,1,0,0.66
7.708,341.831,325.456,0,-84.6,533.849,1,0,0.658
7.729,338.194,321.132,0,-84.6,528.199,1,0,0.655
7.751,334.769,317.06,0,-84.6,522.877,1,0,0.652
7.772,331.161,312.77,0,-84.6,517.272,1,0,0.65
7.772,327.575,308.506,0,-84.6,511.701,1,0,0.647
7.793,323.963,304.211,0,-84.6,506.089,1,0,0.644
7.815,320.212,299.751,0,-84.6,500.261,1,0,0.641
7.836,316.71,295.586,0,-84.6,494.82,1,0,0.639
7.879,313.175,291.383,0,-84.6,489.328,1,0,0.636
7.9,309.119,286.56,0,-84.6,483.026,1,0,0.633
7.921,305.97,282.816,0,-84.6,478.134,1,0,0.631
7.943,302.467,278.65,0,-84.6,472.691,1,0,0.628
7.964,299.016,274.547,0,-84.6,467.329,1,0,0.626
7.985,295.343,270.179,0,-84.6,461.623,1,0,0.623
8.007,291.419,265.514,0,-84.6,455.527,1,0,0.62
8.028,288.219,261.709,0,-84.6,450.555,1,0,0.618
8.049,284.621,257.43,0,-84.6,444.965,1,0,0.615
8.071,280.791,252.876,0,-84.6,439.014,1,0,0.612
8.113,277.355,248.791,0,-84.6,433.676,1,0,0.61
8.113,273.724,244.474,0,-84.6,428.036,1,0,0.607
8.156,270.232,240.321,0,-84.6,422.61,1,0,0.604
8.177,266.537,235.928,0,-84.6,416.869,1,0,0.601
8.199,263.055,231.787,0,-84.6,411.459,1,0,0.599
8.22,259.437,227.486,0,-84.6,405.839,1,0,0.596
8.241,255.869,223.242,0,-84.6,400.295,1,0,0.593
8.263,252.199,218.878,0,-84.6,394.592,1,0,0.591
8.263,248.615,214.617,0,-84.6,389.024,1,0,0.588
8.284,244.967,210.279,0,-84.6,383.357,1,0,0.585
8.305,241.555,206.223,0,-84.6,378.056,1,0,0.583
8.327,237.99,201.984,0,-84.6,372.518,1,0,0.58
8.348,234.435,197.756,0,-84.6,366.995,1,0,0.578
8.412,230.784,193.415,0,-84.6,361.322,1,0,0.575
8.412,227.186,189.136,0,-84.6,355.732,1,0,0.572
8.433,223.541,184.802,0,-84.6,350.068,1,0,0.569
8.455,219.565,180.075,0,-84.6,343.892,1,0,0.566
8.476,216.505,176.437,0,-84.6,339.138,1,0,0.564
8.497,213.029,172.303,0,-84.6,333.737,1,0,0.562
8.519,209.488,168.093,0,-84.6,328.236,1,0,0.559
8.54,205.818,163.729,0,-84.6,322.535,1,0,0.556
8.561,202.286,159.529,0,-84.6,317.047,1,0,0.554
8.583,198.622,155.173,0,-84.6,311.355,1,0,0.551
8.604,194.848,150.685,0,-84.6,305.491,1,0,0.548
8.625,191.415,146.603,0,-84.6,300.158,1,0,0.545
8.668,187.827,142.337,0,-84.6,294.583,1,0,0.543
8.689,184.245,138.077,0,-84.6,289.018,1,0,0.54
8.711,179.961,132.984,0,-84.6,282.363,1,0,0.537
8.732,177.21,129.712,0,-84.6,278.088,1,0,0.535
8.732,173.456,125.249,0,-84.6,272.257,1,0,0.532
8.753,170.314,121.513,0,-84.6,267.375,1,0,0.53
8.775,166.081,116.479,0,-84.6,260.798,1,0,0.527
8.817,162.609,112.351,0,-84.6,255.404,1,0,0.524
8.839,159.135,108.22,0,-84.6,250.007,1,0,0.521
8.86,155.701,104.137,0,-84.6,244.672,1,0,0.519
8.881,152.127,99.887,0,-84.6,239.12,1,0,0.516
8.903,148.49,95.562,0,-84.6,233.469,1,0,0.513
8.924,144.869,91.257,0,-84.6,227.843,1,0,0.511
8.945,141.189,86.88,0,-84.6,222.125,1,0,0.508
8.967,137.753,82.796,0,-84.6,216.788,1,0,0.505
8.988,134.064,78.409,0,-84.6,211.057,1,0,0.503
9.009,130.459,74.123,0,-84.6,205.457,1,0,0.5
9.031,127.026,70.04,0,-84.6,200.122,1,0,0.497
9.052,123.726,66.117,0,-84.6,194.997,1,0,0.495
9.073,120.074,61.773,0,-84.6,189.322,1,0,0.492
9.095,116.609,57.654,0,-84.6,183.94,1,0,0.49
9.116,112.841,53.173,0,-84.6,178.086,1,0,0.487
9.137,109.402,49.084,0,-84.6,172.743,1,0,0.484
9.159,105.715,44.7,0,-84.6,167.015,1,0,0.482
9.201,102.166,40.48,0,-84.6,161.501,1,0,0.479
9.223,98.52,36.145,0,-84.6,155.838,1,0,0.476
9.244,94.942,31.89,0,-84.6,150.279,1,0,0.473
9.265,91.291,27.55,0,-84.6,144.609,1,0,0.471
9.287,87.474,23.01,0,-84.6,138.679,1,0,0.468
9.308,84.191,19.106,0,-84.6,133.578,1,0,0.465
9.329,80.592,14.827,0,-84.6,127.987,1,0,0.463
9.351,76.979,10.531,0,-84.6,122.375,1,0,0.46
9.372,73.248,6.094,0,-84.6,116.579,1,0,0.457
9.372,69.815,2.013,0,-84.6,111.247,1,0,0.455
9.393,66.222,-2.26,0,-84.6,105.666,1,0,0.452
9.436,62.201,-7.041,0,-84.6,99.42,1,0,0.449
9.457,59.084,-10.748,0,-84.6,94.578,1,0,0.447
9.479,55.496,-15.014,0,-84.6,89.006,1,0,0.444
9.5,51.713,-19.512,0,-84.6,83.131,1,0,0.441
9.521,48.379,-23.476,0,-84.6,77.952,1,0,0.439
9.543,44.746,-27.796,0,-84.6,72.312,1,0,0.436
9.564,40.966,-32.29,0,-84.6,66.442,1,0,0.433
9.585,37.629,-36.258,0,-84.6,61.261,1,0,0.431
9.607,33.75,-40.871,0,-84.6,55.238,1,0,0.428
9.628,30.471,-44.77,0,-84.6,50.149,1,0,0.425
9.649,26.908,-49.006,0,-84.6,44.62,1,0,0.423
9.671,23.278,-53.323,0,-84.6,38.989,1,0,0.42
9.713,19.649,-57.638,0,-84.6,33.362,1,0,0.417
9.735,15.326,-62.779,0,-84.6,26.666,1,1,0.416
9.756,12.533,-66.1,0,-84.6,22.346,1,1,0.417
9.777,8.845,-70.485,0,-84.6,16.658,1,1,0.418
9.799,5.564,-74.386,0,-84.6,11.631,1,1,0.418
9.82,1.961,-78.67,0,-84.6,6.246,1,1,0.419
9.841,-1.654,-82.968,0,-84.6,2.323,1,1,0.42
9.863,-5.261,-87.257,0,-84.6,5.894,1,1,0.421
9.863,-8.82,-91.489,0,-84.6,11.191,1,1,0.422
9.884,-12.551,-95.926,0,-84.6,16.906,1,1,0.423
9.905,-16.005,-100.033,0,-84.6,22.234,1,1,0.424
9.927,-19.62,-104.331,0,-84.6,27.826,1,1,0.425
9.969,-23.197,-108.584,0,-84.6,33.367,1,0,0.424
9.991,-26.933,-113.027,0,-84.6,39.16,1,0,0.421
10.097,-31.276,-118.19,0,-84.6,45.896,1,0,0.418
10.119,-44.978,-134.483,0,-84.6,67.167,1,0,0.408
10.14,-50.852,-141.468,0,-84.6,76.288,1,0,0.403
10.161,-53.988,-145.197,0,-84.6,81.158,1,0,0.401
10.183,-57.959,-149.918,0,-84.6,87.325,1,0,0.398
10.204,-61.634,-154.289,0,-84.6,93.034,1,0,0.395
10.289,-63.158,-156.101,0,-84.6,95.401,1,0,0.394
10.311,-78.532,-174.381,0,-84.6,119.281,1,0,0.383
10.332,-82.747,-179.393,0,-84.6,125.829,1,0,0.379
10.353,-85.938,-183.187,0,-84.6,130.785,1,0,0.377
10.375,-89.243,-187.118,0,-84.6,135.92,1,0,0.375
10.481,-91.101,-189.326,0,-84.6,138.805,1,0,0.373
10.481,-105.758,-206.755,0,-84.6,161.576,1,0,0.362
10.503,-109.026,-210.64,0,-84.6,166.652,1,0,0.36
10.524,-112.655,-214.956,0,-84.6,172.29,1,0,0.357
10.545,-116.251,-219.232,0,-84.6,177.877,1,0,0.354
10.567,-119.78,-223.428,0,-84.6,183.359,1,0,0.352
10.588,-123.304,-227.618,0,-84.6,188.833,1,0,0.349
10.631,-125.293,-229.983,0,-84.6,191.923,1,0,0.348
10.631,-132.296,-238.31,0,-84.6,202.803,1,0,0.342
10.673,-135.528,-242.154,0,-84.6,207.825,1,0,0.34
10.695,-139.038,-246.326,0,-84.6,213.276,1,0,0.337
10.716,-142.703,-250.685,0,-84.6,218.971,1,0,0.335
