trialIndex,alertNumber,scheduledStartSec,actualStartSec,trialInitiatedUtc,correctDirection,responseDirection,responseTimeSec,reactionTimeSec,outcome
0,1,2,2.14,2026-02-07T01:35:09.8945452Z,Right,Unknown,-1,-1,Missed
1,2,9.849,9.863,2026-02-07T01:35:17.6144102Z,Right,Unknown,-1,-1,Missed
