timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,0,0,0,0,0,0,0,1
-0.015,0.153,4.998,0,0,5,0,0,0.998
1.607,0.307,9.995,0,0,10,0,0,0.995
2.332,2.862,93.289,0,0,93.333,0,0,0.955
2.353,5.416,176.584,0,0,176.667,0,0,0.915
2.375,5.675,185.009,0,0,185.096,0,0,0.911
2.417,5.833,190.162,0,0,190.252,0,0,0.909
2.439,6.002,195.681,0,0,195.773,0,0,0.906
2.46,6.19,201.804,0,0,201.899,0,0,0.903
2.481,6.35,207.011,0,0,207.109,0,0,0.901
2.503,6.51,212.251,0,0,212.351,0,0,0.898
2.503,6.69,218.115,0,0,218.218,0,0,0.895
2.524,6.859,223.612,0,0,223.718,0,0,0.893
2.545,7.022,228.935,0,0,229.043,0,0,0.89
2.567,7.214,235.17,0,0,235.281,0,0,0.887
2.588,7.378,240.533,0,0,240.646,0,0,0.884
2.631,7.535,245.654,0,0,245.77,0,0,0.882
2.652,7.717,251.601,0,0,251.719,0,0,0.879
2.673,7.891,257.247,0,0,257.368,0,0,0.876
2.695,8.056,262.635,0,0,262.758,0,0,0.874
2.716,8.252,269.042,0,0,269.169,0,0,0.871
2.737,8.443,275.265,0,0,275.394,0,0,0.868
2.759,8.594,280.163,0,0,280.295,0,0,0.865
2.78,8.773,286.004,0,0,286.139,0,0,0.863
2.801,8.964,292.251,0,0,292.388,0,0,0.86
2.823,9.115,297.162,0,0,297.302,0,0,0.857
2.844,9.299,303.17,0,0,303.313,0,0,0.854
2.887,9.48,309.064,0,0,309.21,0,0,0.852
2.908,9.655,314.762,0,0,314.91,0,0,0.849
2.929,9.847,321.034,0,0,321.185,0,0,0.846
2.951,10.04,327.326,0,0,327.48,0,0,0.843
2.993,10.257,334.398,0,0,334.556,0,0,0.839
2.993,10.478,341.597,0,0,341.758,0,0,0.836
3.036,10.655,347.353,0,0,347.517,0,0,0.833
3.057,10.84,353.387,0,0,353.553,0,0,0.83
3.1,11.018,359.195,0,0,359.364,0,0,0.828
3.121,11.587,354.244,0,0,354.433,0,0,0.824
3.143,12.447,348.06,0,0,348.282,0,0,0.821
3.143,13.32,341.792,0,0,342.051,0,0,0.818
