timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
0,-4.538,-2.099,0,0,5,0,0,1
0,-9.076,-4.198,0,0,10,0,0,0.999
0,-84.712,-39.18,0,0,93.333,0,0,0.998
0.647,-160.347,-74.161,0,0,176.667,0,0,0.985
0.689,-169.821,-78.543,0,-84.6,169.929,1,0,0.971
0.732,-176.962,-81.846,0,-84.6,176.983,1,0,0.97
0.753,-183.974,-85.089,0,-84.6,183.975,1,0,0.969
0.796,-191.129,-88.398,0,-84.6,191.167,1,0,0.968
0.817,-196.609,-90.933,0,-84.6,196.711,1,0,0.966
0.86,-203.464,-94.103,0,-84.6,203.685,1,0,0.965
0.86,-211.117,-97.643,0,-84.6,211.52,1,0,0.964
0.881,-216.214,-100,0,-84.6,216.762,1,0,0.963
0.903,-220.766,-102.106,0,-84.6,221.459,1,0,0.962
0.924,-225.015,-104.071,0,-84.6,225.856,1,0,0.961
0.945,-228.849,-105.844,0,-84.6,229.833,1,0,0.96
0.967,-233.038,-107.781,0,-84.6,234.188,1,0,0.96
0.988,-237.02,-109.623,0,-84.6,238.337,1,0,0.959
1.009,-240.806,-111.374,0,-84.6,242.29,1,0,0.958
1.009,-244.745,-113.196,0,-84.6,246.41,1,0,0.958
1.031,-248.866,-115.102,0,-84.6,250.728,1,0,0.957
1.052,-252.86,-116.949,0,-84.6,254.921,1,0,0.956
1.095,-259.855,-120.184,0,-84.6,262.28,1,0,0.955
1.116,-266.854,-123.421,0,-84.6,269.663,1,0,0.954
1.137,-270.746,-125.222,0,-84.6,273.776,1,0,0.953
1.18,-278.086,-128.616,0,-84.6,281.548,1,0,0.952
1.18,-282.335,-130.582,0,-84.6,286.055,1,0,0.951
1.201,-286.416,-132.469,0,-84.6,290.388,1,0,0.95
1.223,-290.499,-134.358,0,-84.6,294.73,1,0,0.95
1.244,-294.813,-136.353,0,-84.6,299.321,1,0,0.949
1.287,-301.743,-139.558,0,-84.6,306.708,1,0,0.947
1.308,-309.382,-143.091,0,-84.6,314.862,1,0,0.946
1.329,-313.299,-144.903,0,-84.6,319.05,1,0,0.945
1.329,-317.931,-147.045,0,-84.6,324.005,1,0,0.945
1.372,-324.723,-150.186,0,-84.6,331.28,1,0,0.943
1.393,-330.728,-152.964,0,-84.6,337.72,1,0,0.942
1.415,-336.178,-155.484,0,-84.6,343.57,1,0,0.941
1.436,-341.32,-157.862,0,-84.6,349.094,1,0,0.94
1.479,-346.572,-160.292,0,-84.6,354.742,1,0,0.939
1.479,-348.626,-162.512,0,-84.6,357.226,1,0,0.939
1.5,-343.657,-164.813,0,-84.6,352.894,1,0,0.938
1.521,-338.695,-167.111,0,-84.6,348.6,1,0,0.937
1.564,-333.231,-169.641,0,-84.6,343.911,1,0,0.936
1.585,-328.701,-171.738,0,-84.6,340.055,1,0,0.935
1.607,-323.583,-174.108,0,-84.6,335.735,1,0,0.934
1.628,-317.608,-176.875,0,-84.6,330.741,1,0,0.933
1.649,-311.287,-179.802,0,-84.6,325.52,1,0,0.932
1.671,-306.256,-182.131,0,-84.6,321.411,1,0,0.931
1.713,-301.216,-184.465,0,-84.6,317.339,1,0,0.93
