trialIndex,alertNumber,scheduledStartSec,actualStartSec,trialInitiatedUtc,correctDirection,responseDirection,responseTimeSec,reactionTimeSec,outcome
0,1,2,2.012,2026-02-07T00:56:20.4617266Z,Right,Unknown,-1,-1,Missed
1,2,9.849,9.905,2026-02-07T00:56:29.1669875Z,Right,Unknown,-1,-1,Missed
