timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.1,-4.323,-2.513,0,0,5,0,0,1
-0.057,-8.645,-5.026,0,0,10,0,0,0.999
1.628,-80.688,-46.91,0,0,93.333,0,0,0.998
2.375,-152.731,-88.794,0,0,176.667,0,0,0.985
2.396,-156.514,-90.993,0,0,181.043,0,0,0.971
2.396,-160.129,-93.095,0,0,185.224,0,0,0.971
2.417,-164.234,-95.481,0,0,189.972,0,0,0.97
2.439,-168.671,-98.061,0,0,195.105,0,0,0.969
2.46,-172.321,-100.183,0,0,199.327,0,0,0.968
2.481,-176.892,-102.84,0,0,204.614,0,0,0.967
2.503,-180.775,-105.098,0,0,209.106,0,0,0.967
2.524,-184.947,-107.523,0,0,213.932,0,0,0.966
2.545,-189.195,-109.993,0,0,218.845,0,0,0.965
2.545,-193.059,-112.239,0,0,223.314,0,0,0.964
2.567,-197.368,-114.745,0,0,228.3,0,0,0.964
2.588,-201.504,-117.149,0,0,233.084,0,0,0.963
2.609,-205.874,-119.69,0,0,238.138,0,0,0.962
2.609,-209.504,-121.8,0,0,242.337,0,0,0.961
2.631,-213.64,-124.205,0,0,247.121,0,0,0.961
2.652,-217.327,-126.348,0,0,251.386,0,0,0.96
2.673,-221.62,-128.844,0,0,256.352,0,0,0.959
2.695,-225.673,-131.2,0,0,261.04,0,0,0.959
2.716,-229.521,-133.437,0,0,265.491,0,0,0.958
2.737,-233.646,-135.835,0,0,270.262,0,0,0.957
2.759,-237.815,-138.259,0,0,275.085,0,0,0.956
2.78,-241.737,-140.539,0,0,279.621,0,0,0.955
2.801,-245.802,-142.903,0,0,284.324,0,0,0.955
2.823,-250.305,-145.52,0,0,289.532,0,0,0.954
2.844,-253.959,-147.645,0,0,293.758,0,0,0.953
2.865,-258.48,-150.273,0,0,298.988,0,0,0.952
2.865,-262.691,-152.722,0,0,303.859,0,0,0.952
2.887,-266.384,-154.868,0,0,308.131,0,0,0.951
2.908,-270.719,-157.389,0,0,313.145,0,0,0.95
2.929,-275.172,-159.977,0,0,318.296,0,0,0.949
2.951,-279.586,-162.544,0,0,323.402,0,0,0.948
2.972,-283.292,-164.698,0,0,327.689,0,0,0.948
2.993,-287.547,-167.172,0,0,332.611,0,0,0.947
3.015,-291.732,-169.605,0,0,337.451,0,0,0.946
3.036,-295.678,-171.899,0,0,342.016,0,0,0.945
3.036,-300.183,-174.518,0,0,347.226,0,0,0.945
3.057,-304.298,-176.911,0,0,351.987,0,0,0.944
3.079,-308.072,-179.104,0,0,356.352,0,0,0.943
3.1,-312.019,-181.399,0,0,360.918,0,0,0.942
3.1,-315.659,-183.516,0,0,365.128,0,0,0.942
3.121,-319.821,-185.935,0,0,369.943,0,0,0.941
3.143,-324.097,-188.421,0,0,374.889,0,0,0.94
3.164,-328.312,-190.872,0,0,379.764,0,0,0.94
3.185,-332.535,-193.327,0,0,384.649,0,0,0.939
3.207,-336.197,-195.456,0,0,388.885,0,0,0.938
3.228,-339.954,-197.64,0,0,393.23,0,0,0.937
3.249,-344.262,-200.144,0,0,398.213,0,0,0.936
3.271,-348.062,-202.354,0,0,402.609,0,0,0.936
3.292,-347.998,-204.825,0,0,403.802,0,0,0.935
3.292,-344.482,-207.202,0,0,401.995,0,0,0.934
3.335,-340.169,-210.116,0,0,399.83,0,0,0.934
3.335,-336.632,-212.507,0,0,398.096,0,0,0.933
3.356,-332.849,-215.064,0,0,396.284,0,0,0.932
3.377,-328.615,-217.926,0,0,394.308,0,0,0.931
3.399,-324.545,-220.676,0,0,392.463,0,0,0.93
3.42,-320.397,-223.48,0,0,390.637,0,0,0.93
3.441,-316.458,-226.142,0,0,388.955,0,0,0.929
3.463,-311.388,-229.568,0,0,386.865,0,0,0.928
