trialIndex,alertNumber,scheduledStartSec,actualStartSec,trialInitiatedUtc,correctDirection,responseDirection,responseTimeSec,reactionTimeSec,outcome
0,1,2,2.183,2026-02-07T00:11:54.2689733Z,Right,Unknown,-1,-1,Missed
1,2,9.849,9.863,2026-02-07T00:12:01.9368285Z,Right,Unknown,-1,-1,Missed
2,3,21.22,21.233,2026-02-07T00:12:13.3138406Z,Right,Right,21.788,0.555,Correct
3,4,31.27,31.281,2026-02-07T00:12:23.3506148Z,Both,Unknown,-1,-1,Missed
4,5,38.899,38.919,2026-02-07T00:12:31.0099694Z,Both,Right,39.473,0.555,Incorrect
5,6,49.2,49.201,2026-02-07T00:12:41.2692833Z,Both,Unknown,-1,-1,Missed
6,7,58.115,58.119,2026-02-07T00:12:50.1923613Z,Left,Unknown,-1,-1,Missed
