t_audio_sec,ray_on_target,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,target_x,target_y,target_z
0.7253,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1774,1.2553,0.5086
0.7467,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1781,1.2584,0.5086
0.8107,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1754,1.2646,0.5086
0.8747,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1646,1.2710,0.5086
0.9173,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1543,1.2743,0.5086
0.9600,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1457,1.2762,0.5086
0.9813,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1373,1.2777,0.5086
1.0027,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1288,1.2789,0.5086
1.0027,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1191,1.2800,0.5086
1.0240,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1092,1.2809,0.5086
1.0453,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0987,1.2817,0.5086
1.0880,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0883,1.2822,0.5086
1.1307,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0762,1.2828,0.5086
1.1520,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0635,1.2831,0.5086
1.1733,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0509,1.2833,0.5086
1.1733,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0372,1.2834,0.5086
1.1947,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0211,1.2833,0.5086
1.2160,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0028,1.2830,0.5086
1.2587,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9879,1.2825,0.5086
1.2800,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9716,1.2820,0.5086
1.3013,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9533,1.2811,0.5086
1.3227,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9377,1.2803,0.5086
1.3440,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9214,1.2793,0.5086
1.3653,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9009,1.2779,0.5086
1.3867,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8860,1.2767,0.5086
1.4080,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8689,1.2753,0.5086
1.4507,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8520,1.2737,0.5086
