timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,-1.566,-4.749,0,0,5,0,0,1
-0.015,-3.132,-9.497,0,0,10,0,0,0.999
1.393,-29.228,-88.639,0,0,93.333,0,0,0.998
1.991,-55.324,-167.781,0,0,176.667,0,0,0.985
2.012,-57.41,-174.106,46.974,23.931,223.863,1,0,0.971
2.033,-59.126,-179.309,52.54,22.722,230.837,1,0,0.97
2.055,-60.835,-184.492,53.766,21.985,236.148,1,0,0.969
2.076,-62.552,-189.701,60.76,19.668,242.984,1,0,0.968
2.119,-64.364,-195.193,76.6,23.437,260.134,1,0,0.968
2.14,-66.079,-200.395,85.342,23.617,270.389,1,0,0.967
2.332,-80.913,-245.383,87.202,22.774,316.498,1,0,0.966
2.353,-82.582,-250.443,16.643,-9.71,260.381,1,0,0.958
2.375,-84.292,-255.628,4.615,-23.068,248.976,1,0,0.957
2.396,-86.045,-260.944,-14.258,-39.023,233.243,1,0,0.956
2.417,-87.779,-266.206,-33.653,-51.719,221.211,1,0,0.956
2.439,-89.402,-271.125,-70.236,-70.905,201.136,1,0,0.955
2.46,-91.105,-276.29,-78.425,-72.443,204.241,1,0,0.954
2.46,-92.853,-281.593,-81.476,-73.841,208.063,1,0,0.953
2.481,-94.63,-286.982,-77.135,-73.007,214.688,1,0,0.952
2.503,-96.348,-292.19,-87.904,-76.584,215.771,1,0,0.951
2.545,-98.176,-297.735,-94.339,-73.668,224.1,1,0,0.95
2.567,-99.952,-303.12,-94.262,-64.29,238.898,1,0,0.949
2.609,-101.714,-308.465,-83.067,-58.676,250.484,1,0,0.948
2.609,-103.487,-313.842,-69.832,-58.414,257.635,1,0,0.948
2.631,-105.162,-318.922,-61.392,-58.534,264.041,1,0,0.947
2.652,-106.93,-324.282,-56.352,-53.846,275.125,1,0,0.946
2.673,-108.649,-329.494,-58.895,-38.74,294.98,1,0,0.945
2.695,-110.43,-334.896,-62.429,-16.989,321.511,1,0,0.944
2.716,-112.149,-340.112,-80.973,32.686,374.098,1,0,0.943
2.737,-113.919,-345.479,-107.694,80.392,425.917,1,0,0.942
2.759,-115.668,-350.782,-138.4,123.878,475.204,1,0,0.941
2.801,-117.502,-356.344,-162.511,146.802,505.155,1,0,0.94
2.823,-119.21,-358.477,-181.971,158.991,521.26,1,0,0.94
2.844,-120.831,-353.413,-199.809,166.177,525.558,1,0,0.939
2.865,-122.527,-348.114,-217.877,185.758,542.32,1,0,0.938
2.887,-124.216,-342.839,-235.62,210.919,564.852,1,0,0.937
2.908,-125.954,-337.409,-250.132,231.59,582.392,1,0,0.936
2.929,-127.678,-332.022,-255.776,234.911,581.224,1,0,0.935
2.929,-129.356,-326.779,-255.209,224.266,565.234,1,0,0.934
2.951,-131.09,-321.363,-247.001,205.739,539.695,1,0,0.933
2.972,-132.726,-316.252,-232.6,178.97,505.192,1,0,0.932
