t_audio_sec,ray_on_target,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,target_x,target_y,target_z
0.7467,0,-1.2606,0.6316,-0.0086,-0.4445,0.1255,0.8869,0.2018,1.3583,-1.1750
0.7680,0,-1.2612,0.6317,-0.0083,-0.4456,0.1245,0.8865,0.2020,1.3601,-1.1750
0.7893,0,-1.2607,0.6319,-0.0083,-0.4451,0.1251,0.8867,0.2018,1.3625,-1.1750
0.8320,0,-1.2607,0.6320,-0.0085,-0.4450,0.1252,0.8867,0.2013,1.3644,-1.1750
0.8533,0,-1.2610,0.6318,-0.0084,-0.4450,0.1255,0.8867,0.2003,1.3663,-1.1750
0.8747,0,-1.2615,0.6314,-0.0081,-0.4449,0.1248,0.8869,0.1989,1.3680,-1.1750
0.9173,0,-1.2618,0.6312,-0.0079,-0.4449,0.1246,0.8869,0.1968,1.3699,-1.1750
0.9387,0,-1.2625,0.6310,-0.0071,-0.4448,0.1245,0.8870,0.1952,1.3709,-1.1750
0.9600,0,-1.2621,0.6313,-0.0077,-0.4449,0.1252,0.8868,0.1928,1.3722,-1.1750
1.0027,0,-1.2622,0.6314,-0.0077,-0.4449,0.1248,0.8868,0.1902,1.3732,-1.1750
1.0240,0,-1.2622,0.6315,-0.0075,-0.4454,0.1245,0.8867,0.1877,1.3741,-1.1750
1.0453,0,-1.2620,0.6317,-0.0079,-0.4452,0.1256,0.8866,0.1849,1.3748,-1.1750
1.0880,0,-1.2618,0.6315,-0.0080,-0.4450,0.1253,0.8867,0.1802,1.3757,-1.1750
1.1093,0,-1.2616,0.6315,-0.0081,-0.4449,0.1252,0.8868,0.1775,1.3761,-1.1750
1.1307,0,-1.2613,0.6315,-0.0081,-0.4448,0.1254,0.8868,0.1738,1.3765,-1.1750
1.2160,0,-1.2607,0.6317,-0.0087,-0.4446,0.1253,0.8869,0.1548,1.3769,-1.1750
1.2373,0,-1.2606,0.6318,-0.0085,-0.4447,0.1253,0.8869,0.1505,1.3766,-1.1750
1.2800,0,-1.2601,0.6320,-0.0089,-0.4447,0.1251,0.8869,0.1457,1.3763,-1.1750
1.3013,0,-1.2609,0.6317,-0.0085,-0.4450,0.1250,0.8867,0.1411,1.3759,-1.1750
1.3227,0,-1.2613,0.6314,-0.0083,-0.4450,0.1253,0.8867,0.1364,1.3753,-1.1750
1.3440,0,-1.2613,0.6314,-0.0080,-0.4450,0.1252,0.8867,0.1317,1.3747,-1.1750
1.3653,0,-1.2611,0.6314,-0.0080,-0.4450,0.1252,0.8867,0.1262,1.3739,-1.1750
1.4080,0,-1.2621,0.6312,-0.0074,-0.4450,0.1252,0.8867,0.1189,1.3726,-1.1750
1.4293,0,-1.2621,0.6312,-0.0074,-0.4449,0.1253,0.8868,0.1138,1.3716,-1.1750
1.4507,0,-1.2634,0.6310,-0.0066,-0.4451,0.1249,0.8867,0.1079,1.3704,-1.1750
