timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.057,0.838,-4.929,0,0,5,0,0,1
-0.015,1.676,-9.858,0,0,10,0,0,0.999
1.543,15.647,-92.012,0,0,93.333,0,0,0.998
2.204,29.618,-174.166,0,0,176.667,0,0,0.985
2.225,30.453,-179.077,0,-84.6,99.263,1,0,0.972
2.247,31.657,-186.157,0,-84.6,106.376,1,0,0.971
2.289,32.817,-192.976,0,-84.6,113.236,1,0,0.97
2.311,33.857,-199.097,0,-84.6,119.398,1,0,0.969
2.332,34.985,-205.73,0,-84.6,126.081,1,0,0.968
2.353,36.086,-212.204,0,-84.6,132.608,1,0,0.967
2.396,37.102,-218.175,0,-84.6,138.632,1,0,0.966
2.417,38.231,-224.818,0,-84.6,145.336,1,0,0.965
2.439,39.288,-231.03,0,-84.6,151.609,1,0,0.964
2.46,40.29,-236.921,0,-84.6,157.56,1,0,0.962
2.481,41.273,-242.702,0,-84.6,163.4,1,0,0.961
2.503,42.107,-247.606,0,-84.6,168.357,1,0,0.96
2.545,43.026,-253.011,0,-84.6,173.82,1,0,0.959
2.545,44.048,-259.024,0,-84.6,179.9,1,0,0.958
2.567,44.894,-263.995,0,-84.6,184.927,1,0,0.958
2.588,45.827,-269.483,0,-84.6,190.478,1,0,0.957
2.609,46.784,-275.114,0,-84.6,196.174,1,0,0.956
2.631,47.676,-280.355,0,-84.6,201.477,1,0,0.955
2.652,48.605,-285.819,0,-84.6,207.006,1,0,0.954
2.673,49.534,-291.283,0,-84.6,212.536,1,0,0.953
2.695,50.507,-297.006,0,-84.6,218.329,1,0,0.952
2.716,51.497,-302.828,0,-84.6,224.222,1,0,0.951
2.737,52.338,-307.77,0,-84.6,229.225,1,0,0.95
2.759,53.264,-313.219,0,-84.6,234.742,1,0,0.95
2.801,54.207,-318.76,0,-84.6,240.353,1,0,0.949
2.823,55.239,-324.831,0,-84.6,246.5,1,0,0.948
2.844,56.185,-330.393,0,-84.6,252.132,1,0,0.947
2.865,57.194,-336.326,0,-84.6,258.141,1,0,0.946
2.887,58.051,-341.367,0,-84.6,263.248,1,0,0.945
2.908,58.994,-346.911,0,-84.6,268.863,1,0,0.944
2.929,59.942,-347.512,0,-84.6,269.659,1,0,0.943
2.951,61.331,-342.299,0,-84.6,264.897,1,0,0.942
2.972,62.795,-336.809,0,-84.6,259.909,1,0,0.941
3.015,64.679,-329.74,0,-84.6,253.529,1,0,0.94
3.036,65.958,-324.94,0,-84.6,249.226,1,0,0.939
3.036,67.39,-319.564,0,-84.6,244.437,1,0,0.939
3.057,68.968,-313.645,0,-84.6,239.203,1,0,0.938
3.079,70.287,-308.697,0,-84.6,234.861,1,0,0.937
3.1,71.692,-303.425,0,-84.6,230.269,1,0,0.936
3.121,73.287,-297.439,0,-84.6,225.104,1,0,0.935
3.164,74.959,-291.165,0,-84.6,219.745,1,0,0.934
3.185,76.313,-286.085,0,-84.6,215.453,1,0,0.933
3.207,77.897,-280.143,0,-84.6,210.487,1,0,0.932
3.228,79.175,-275.345,0,-84.6,206.524,1,0,0.931
3.249,80.658,-269.783,0,-84.6,201.986,1,0,0.93
3.271,82.111,-264.33,0,-84.6,197.598,1,0,0.929
3.292,83.477,-259.203,0,-84.6,193.532,1,0,0.929
3.313,84.982,-253.557,0,-84.6,189.125,1,0,0.928
3.335,86.408,-248.207,0,-84.6,185.023,1,0,0.927
3.356,87.866,-242.734,0,-84.6,180.905,1,0,0.926
3.377,89.29,-237.391,0,-84.6,176.968,1,0,0.925
3.42,90.743,-231.94,0,-84.6,173.042,1,0,0.924
3.441,92.21,-226.434,0,-84.6,169.174,1,0,0.923
3.463,93.618,-221.151,0,-84.6,165.561,1,0,0.922
3.484,95.437,-214.326,0,-84.6,161.05,1,0,0.921
3.505,96.932,-208.717,0,-84.6,157.483,1,0,0.92
3.505,98.181,-204.028,0,-84.6,154.605,1,0,0.919
3.527,99.647,-198.528,0,-84.6,151.358,1,0,0.919
3.548,101.005,-193.432,0,-84.6,148.481,1,0,0.918
3.569,102.481,-187.896,0,-84.6,145.507,1,0,0.917
3.633,103.956,-182.359,0,-84.6,142.702,1,0,0.916
3.655,105.36,-177.093,0,-84.6,140.199,1,0,0.915
3.676,106.95,-171.126,0,-84.6,137.568,1,0,0.914
3.676,108.347,-165.884,0,-84.6,135.448,1,0,0.913
3.697,109.713,-160.76,0,-84.6,133.556,1,0,0.912
3.719,111.075,-155.65,0,-84.6,131.855,1,0,0.911
3.74,112.584,-149.985,0,-84.6,130.194,1,0,0.911
3.761,113.969,-144.79,0,-84.6,128.887,1,0,0.91
3.783,115.414,-139.368,0,-84.6,127.749,1,0,0.909
3.804,116.995,-133.437,0,-84.6,126.778,1,0,0.908
3.825,118.315,-128.481,0,-84.6,126.191,1,0,0.907
3.847,119.673,-123.386,0,-84.6,125.801,1,0,0.906
3.889,121.132,-117.914,0,-84.6,125.629,1,0,0.905
3.911,122.571,-112.513,0,-84.6,125.709,1,0,0.904
3.932,124.176,-106.491,0,-84.6,126.091,1,0,0.903
3.953,125.515,-101.464,0,-84.6,126.643,1,0,0.903
3.975,126.908,-96.238,0,-84.6,127.441,1,0,0.902
3.996,128.406,-90.618,0,-84.6,128.547,1,0,0.901
4.017,129.918,-84.943,0,-84.6,129.919,1,0,0.9
4.017,131.22,-80.06,0,-84.6,131.298,1,0,0.899
4.06,132.808,-74.102,0,-84.6,133.222,1,0,0.898
4.081,134.084,-69.314,0,-84.6,134.952,1,0,0.897
4.124,135.664,-63.383,0,-84.6,137.313,1,0,0.896
4.145,137.126,-57.897,0,-84.6,139.702,1,0,0.895
4.145,138.504,-52.729,0,-84.6,142.123,1,0,0.894
4.167,139.936,-47.354,0,-84.6,144.808,1,0,0.894
4.188,141.375,-41.955,0,-84.6,147.667,1,0,0.893
4.209,142.763,-36.746,0,-84.6,150.57,1,0,0.892
4.231,144.232,-31.235,0,-84.6,153.788,1,0,0.891
4.252,145.722,-25.642,0,-84.6,157.198,1,0,0.89
4.273,147.239,-19.95,0,-84.6,160.808,1,0,0.889
4.295,148.55,-15.031,0,-84.6,164.033,1,0,0.888
4.316,150.064,-9.351,0,-84.6,167.874,1,0,0.887
4.359,151.548,-3.784,0,-84.6,171.75,1,0,0.886
4.38,152.855,1.122,0,-84.6,175.251,1,0,0.885
