timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.036,4.179,2.745,0,0,5,0,0,1
-0.015,8.358,5.49,0,0,10,0,0,0.999
1.564,78.008,51.242,0,0,93.333,0,0,0.998
2.247,147.659,96.995,0,0,176.667,0,0,0.985
2.268,152.991,100.498,0,0,183.047,0,0,0.972
2.289,157.216,103.273,0,0,188.101,0,0,0.97
2.311,162.165,106.523,0,0,194.022,0,0,0.969
2.332,166.595,109.433,0,0,199.322,0,0,0.968
2.375,171.481,112.643,0,0,205.168,0,0,0.968
2.396,175.994,115.607,0,0,210.568,0,0,0.967
2.567,216.358,142.122,0,0,258.862,0,0,0.966
2.588,220.738,144.999,0,0,264.102,0,0,0.958
2.609,225.146,147.895,0,0,269.376,0,0,0.957
2.631,230.089,151.142,0,0,275.29,0,0,0.956
2.652,234.781,154.224,0,0,280.904,0,0,0.956
2.673,239.275,157.176,0,0,286.281,0,0,0.955
2.695,243.82,160.162,0,0,291.719,0,0,0.954
2.716,248.509,163.241,0,0,297.328,0,0,0.953
2.759,253.228,166.341,0,0,302.975,0,0,0.952
2.78,258.121,169.555,0,0,308.829,0,0,0.951
2.801,262.912,172.703,0,0,314.562,0,0,0.95
2.823,267.226,175.537,0,0,319.723,0,0,0.949
2.844,272.099,178.737,0,0,325.553,0,0,0.948
2.865,276.666,181.737,0,0,331.018,0,0,0.947
2.887,281.314,184.791,0,0,336.579,0,0,0.947
2.908,286.098,187.933,0,0,342.303,0,0,0.946
2.929,290.761,190.996,0,0,347.881,0,0,0.945
2.929,295.42,194.056,0,0,353.455,0,0,0.944
2.972,300.184,197.186,0,0,359.156,0,0,0.943
2.993,304.677,200.138,0,0,364.532,0,0,0.942
3.015,309.348,203.206,0,0,370.12,0,0,0.941
3.036,314.109,206.333,0,0,375.816,0,0,0.94
3.057,318.725,209.366,0,0,381.34,0,0,0.939
3.079,323.629,212.587,0,0,387.207,0,0,0.939
3.1,328.12,215.536,0,0,392.579,0,0,0.938
3.121,332.807,218.616,0,0,398.188,0,0,0.937
3.143,337.385,221.622,0,0,403.664,0,0,0.936
3.164,342.066,224.698,0,0,409.266,0,0,0.935
3.185,346.674,227.725,0,0,414.779,0,0,0.934
3.207,351.218,230.709,0,0,420.215,0,0,0.933
3.249,356.13,233.936,0,0,426.093,0,0,0.932
3.271,359.188,237.011,0,0,430.338,0,0,0.931
3.292,354.523,239.543,0,0,427.864,0,0,0.93
3.313,349.567,242.232,0,0,425.293,0,0,0.93
3.335,344.785,244.828,0,0,422.868,0,0,0.929
3.356,339.407,247.747,0,0,420.209,0,0,0.928
3.377,334.797,250.248,0,0,417.987,0,0,0.927
3.399,330.183,252.752,0,0,415.818,0,0,0.926
3.399,325.303,255.4,0,0,413.584,0,0,0.925
3.42,320.105,258.221,0,0,411.273,0,0,0.924
3.441,315.37,260.791,0,0,409.231,0,0,0.923
3.484,310.537,263.414,0,0,407.21,0,0,0.923
3.505,305.115,266.356,0,0,405.019,0,0,0.922
3.527,300.943,268.62,0,0,403.39,0,0,0.921
3.569,295.776,271.424,0,0,401.44,0,0,0.92
3.569,291.028,274.001,0,0,399.717,0,0,0.919
3.591,286.11,276.67,0,0,398.001,0,0,0.918
3.612,281.409,279.221,0,0,396.428,0,0,0.917
3.633,276.254,282.018,0,0,394.779,0,0,0.916
3.655,271.403,284.651,0,0,393.301,0,0,0.915
3.676,266.582,287.267,0,0,391.904,0,0,0.914
3.697,261.486,290.033,0,0,390.505,0,0,0.914
3.719,256.7,292.63,0,0,389.265,0,0,0.913
3.761,251.93,295.218,0,0,388.102,0,0,0.912
3.783,247.035,297.875,0,0,386.983,0,0,0.911
3.804,242.097,300.555,0,0,385.933,0,0,0.91
3.825,237.258,303.181,0,0,384.981,0,0,0.909
3.847,232.514,305.755,0,0,384.121,0,0,0.908
3.868,227.61,308.417,0,0,383.311,0,0,0.907
3.889,222.789,311.033,0,0,382.592,0,0,0.907
3.889,217.846,313.715,0,0,381.935,0,0,0.906
3.911,212.658,316.531,0,0,381.334,0,0,0.905
3.932,207.928,319.098,0,0,380.864,0,0,0.904
3.975,202.99,321.777,0,0,380.455,0,0,0.903
3.996,198.12,324.42,0,0,380.132,0,0,0.902
4.039,193.157,327.114,0,0,379.886,0,0,0.901
4.039,188.402,329.695,0,0,379.728,0,0,0.9
4.06,183.387,332.416,0,0,379.646,0,0,0.899
4.081,178.673,334.974,0,0,379.647,0,0,0.899
4.103,173.661,337.694,0,0,379.731,0,0,0.898
4.124,168.774,340.346,0,0,379.895,0,0,0.897
4.145,163.722,343.088,0,0,380.15,0,0,0.896
4.167,159.147,345.571,0,0,380.456,0,0,0.895
4.188,154.257,348.224,0,0,380.861,0,0,0.894
4.209,149.315,350.906,0,0,381.353,0,0,0.893
4.231,144.313,353.621,0,0,381.934,0,0,0.892
4.273,139.122,356.438,0,0,382.626,0,0,0.891
4.295,134.344,359.031,0,0,383.342,0,0,0.89
4.316,129.755,358.073,0,0,380.857,0,0,0.89
4.337,125.465,354.985,0,0,376.504,0,0,0.889
4.359,121.012,351.78,0,0,372.012,0,0,0.888
4.38,116.105,348.248,0,0,367.092,0,0,0.887
4.401,111.896,345.219,0,0,362.901,0,0,0.886
4.423,107.433,342.006,0,0,358.483,0,0,0.885
4.444,102.925,338.762,0,0,354.052,0,0,0.884
4.465,98.393,335.5,0,0,349.63,0,0,0.883
4.487,93.934,332.291,0,0,345.313,0,0,0.882
4.508,89.255,328.923,0,0,340.818,0,0,0.882
4.529,84.8,325.717,0,0,336.574,0,0,0.881
4.551,80.298,322.476,0,0,332.323,0,0,0.88
4.572,75.361,318.923,0,0,327.706,0,0,0.879
4.593,71.263,315.974,0,0,323.91,0,0,0.878
4.615,66.624,312.635,0,0,319.655,0,0,0.877
4.636,62.183,309.438,0,0,315.625,0,0,0.876
4.657,57.707,306.217,0,0,311.607,0,0,0.875
